,name,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,category,projectrank_placing,trending,updated_github_id,dependent_project_count,github_dependent_project_count
115,EvoPrompt,beeevita/EvoPrompt,https://github.com/beeevita/EvoPrompt,https://github.com/beeevita/EvoPrompt,MIT,2023-10-11 04:08:41,2025-09-22 11:43:23,2025-09-22 11:43:22,22.0,,36.0,2.0,,,11.0,221.0,,,,,,Official implementation of the paper Connecting Large Language Models with Evolutionary Algorithms Yields Powerful..,,9,False,others,3.0,,,,
116,DeepACO,henry-yeh/DeepACO,https://github.com/henry-yeh/DeepACO,https://github.com/henry-yeh/DeepACO,MIT,2023-02-06 05:59:47,2024-09-29 13:25:54,2024-09-29 13:25:54,120.0,,27.0,3.0,1.0,1.0,3.0,183.0,,,,,,[NeurIPS 2023] DeepACO: Neural-enhanced Ant Systems for Combinatorial Optimization.,2.0,9,False,others,3.0,,,,
117,GEFEST,aimclub/GEFEST,https://github.com/aimclub/GEFEST,https://github.com/aimclub/GEFEST,BSD-3-Clause,2021-11-03 14:39:42,2025-06-24 16:43:08,2025-06-24 16:43:08,42.0,,11.0,2.0,62.0,8.0,10.0,64.0,2024-08-02 09:36:06,0.2.0,,,2.0,Toolbox for the generative design of geometrically-encoded physical objects using numerical modelling and evolutionary..,11.0,9,False,others,3.0,,,2.0,2.0
118,quality-diversity.github.io,quality-diversity/quality-diversity.github.io,https://github.com/quality-diversity/quality-diversity.github.io,https://github.com/quality-diversity/quality-diversity.github.io,,2019-11-02 11:50:55,2025-12-17 23:25:44,2025-12-17 23:25:43,350.0,,39.0,10.0,47.0,,4.0,49.0,,,,,,Website for Quality-Diversity optimisation algorithms.,31.0,9,False,others,3.0,,,,
119,SwarmRL,SwarmRL/SwarmRL,https://github.com/SwarmRL/SwarmRL,https://github.com/SwarmRL/SwarmRL,EPL-2.0,2023-03-08 15:15:17,2025-11-03 14:49:45,2025-11-03 14:49:45,674.0,,9.0,1.0,87.0,10.0,10.0,42.0,,,,,,Multi agent reinforcement learning for intelligent active matter.,27.0,9,False,others,3.0,,,,
120,ngc-museum,NACLab/ngc-museum,https://github.com/NACLab/ngc-museum,https://github.com/NACLab/ngc-museum,BSD-3-Clause,2024-03-30 05:03:52,2026-02-22 21:50:29,2026-02-22 21:50:29,200.0,3.0,7.0,3.0,25.0,,,19.0,,,,,,"NGC Museum: Biomimetic Credit Assignment, NeuroAI, and Brain-Inspired Computing with NGC-Learn.",6.0,9,False,others,3.0,,,,
121,NiaAML-GUI,firefly-cpp/NiaAML-GUI,https://github.com/firefly-cpp/NiaAML-GUI,https://github.com/firefly-cpp/NiaAML-GUI,MIT,2020-12-02 18:01:21,2025-08-08 11:05:53,2025-08-08 11:02:04,151.0,,6.0,2.0,30.0,,9.0,5.0,2025-08-08 11:05:53,0.4.3,,,13.0,GUI for NiaAML Python package.,7.0,9,False,others,3.0,,,,
122,awesome-neural-geometry,neurreps/awesome-neural-geometry,https://github.com/neurreps/awesome-neural-geometry,https://github.com/neurreps/awesome-neural-geometry,,2022-07-31 01:19:57,2026-02-24 00:53:09,2026-02-24 00:53:09,148.0,2.0,69.0,33.0,17.0,,1.0,1052.0,,,,,,"A curated collection of resources and research related to the geometry of representations in the brain, deep networks,..",16.0,8,False,others,3.0,,,,
123,multiagent-competition,openai/multiagent-competition,https://github.com/openai/multiagent-competition,https://github.com/openai/multiagent-competition,,2017-10-11 15:29:00,2023-04-02 11:57:48,2018-11-22 06:05:35,4.0,,150.0,42.0,3.0,11.0,2.0,833.0,,,,,,Code for the paper Emergent Complexity via Multi-agent Competition.,3.0,8,False,others,3.0,,,,
124,alphastar,google-deepmind/alphastar,https://github.com/google-deepmind/alphastar,https://github.com/google-deepmind/alphastar,Apache-2.0,2022-08-05 14:11:00,2022-09-08 18:15:53,2022-07-21 17:51:14,42.0,,76.0,11.0,2.0,5.0,1.0,553.0,,,,,,,5.0,8,False,others,3.0,,,,
