,name,github_id,homepage,dependent_project_count,github_dependent_project_count,contributor_count,description,projectrank,show,category,projectrank_placing,trending
0,deap,DEAP/deap,{},7075.0,7075.0,93.0,,7,False,others,1.0,
1,camel,camel-ai/camel,{},511.0,511.0,232.0,,6,False,others,1.0,-27.0
2,pymoo,anyoptimization/pymoo,{},2154.0,2154.0,78.0,,6,False,others,1.0,-23.0
3,tpot,EpistasisLab/tpot,{},3612.0,3612.0,10.0,,5,False,others,1.0,
4,mealpy,thieu1995/mealpy,{},206.0,206.0,47.0,,5,False,others,1.0,
5,pyswarms,ljvmiranda921/pyswarms,{},618.0,618.0,45.0,,5,False,others,1.0,
6,pycma,CMA-ES/pycma,{},3186.0,3186.0,18.0,,5,False,others,1.0,
7,Platypus,Project-Platypus/Platypus,{},256.0,256.0,22.0,,5,False,others,1.0,
8,scikit-opt,guofei9987/scikit-opt,{},287.0,287.0,24.0,,5,False,others,1.0,
9,nengo,nengo/nengo,{},273.0,273.0,44.0,,5,False,others,1.0,
10,NiaPy,NiaOrg/NiaPy,{},114.0,114.0,39.0,,4,False,others,2.0,
11,evosax,RobertTLange/evosax,{},204.0,204.0,13.0,,4,False,others,2.0,
12,hivemind,learning-at-home/hivemind,{},135.0,135.0,34.0,,4,False,others,2.0,
13,minerl,minerllabs/minerl,{},166.0,166.0,48.0,,4,False,others,2.0,
14,pyribs,icaros-usc/pyribs,{},80.0,80.0,21.0,,4,False,others,2.0,
15,FEDOT,aimclub/FEDOT,{},66.0,66.0,42.0,,4,False,others,2.0,
16,Sklearn-genetic-opt,rodrigo-arenas/Sklearn-genetic-opt,{},74.0,74.0,50.0,,4,False,others,2.0,
17,jMetalPy,jMetal/jMetalPy,{},112.0,112.0,36.0,,4,False,others,2.0,
18,HEBO,huawei-noah/HEBO,{},179.0,179.0,28.0,,4,False,others,2.0,
19,crafter,danijar/crafter,{},269.0,269.0,4.0,,4,False,others,2.0,
20,sklearn-deap,rsteca/sklearn-deap,{},51.0,51.0,23.0,,4,False,others,2.0,
21,NIR,neuromorphs/NIR,{},117.0,117.0,22.0,,4,False,others,2.0,
22,gplearn,trevorstephens/gplearn,{},746.0,746.0,13.0,,4,False,others,2.0,
23,ck,mlcommons/ck,{},122.0,122.0,35.0,,4,False,others,2.0,
24,agentscope,modelscope/agentscope,{},140.0,140.0,93.0,,4,False,others,2.0,-24.0
25,malmo,microsoft/malmo,{},35.0,35.0,36.0,,3,False,others,2.0,
26,Gradient-Free-Optimizers,SimonBlanke/Gradient-Free-Optimizers,{},47.0,47.0,10.0,,3,False,others,2.0,
27,fast-cma-es,dietmarwo/fast-cma-es,{},86.0,86.0,6.0,,3,False,others,2.0,
28,evox,EMI-Group/evox,{},14.0,14.0,28.0,,3,False,others,2.0,
29,cellpylib,lantunes/cellpylib,{},93.0,93.0,3.0,,3,False,others,2.0,
30,eaopt,MaxHalford/eaopt,{},60.0,60.0,18.0,,3,False,others,2.0,
31,mindspore,mindspore-ai/mindspore,{},,,1626.0,,3,False,others,2.0,
32,brainflow,brainflow-dev/brainflow,{},25.0,25.0,67.0,,3,False,others,2.0,-24.0
33,sotopia,sotopia-lab/sotopia,{},13.0,13.0,21.0,,3,False,others,2.0,
34,concordia,google-deepmind/concordia,{},22.0,22.0,45.0,,3,False,others,2.0,
35,Craftax,MichaelTMatthews/Craftax,{},45.0,45.0,13.0,,3,False,others,2.0,
36,platonic-rep,minyoungg/platonic-rep,{},49.0,49.0,4.0,,3,False,others,2.0,
37,craftium,mikelma/craftium,{},,,1133.0,,3,False,others,2.0,
38,optunahub,optuna/optunahub,{},67.0,67.0,14.0,,3,False,others,2.0,
39,QDax,adaptive-intelligent-robotics/QDax,{},25.0,25.0,18.0,,2,False,others,2.0,
40,triangula,rh12503/triangula,{},11.0,11.0,3.0,,2,False,others,2.0,
41,theseus,facebookresearch/theseus,{},8.0,8.0,27.0,,2,False,others,2.0,
42,swarmlib,HaaLeo/swarmlib,{},24.0,24.0,7.0,,2,False,others,2.0,
43,OpenELM,CarperAI/OpenELM,{},15.0,15.0,9.0,,2,False,others,2.0,
44,propulate,Helmholtz-AI-Energy/propulate,{},4.0,4.0,26.0,,2,False,others,2.0,
45,design-bench,brandontrabucco/design-bench,{},25.0,25.0,5.0,,2,False,others,2.0,
46,dreamerv3,danijar/dreamerv3,{},10.0,10.0,11.0,,2,False,others,2.0,
47,arena,diambra/arena,{},19.0,19.0,5.0,,2,False,others,2.0,
48,evo,evo-design/evo,{},14.0,14.0,10.0,,2,False,others,2.0,
49,DeepSwarm,Pattio/DeepSwarm,{},6.0,6.0,,,1,False,others,3.0,
50,pagmo2,esa/pagmo2,{},,,63.0,,1,False,others,3.0,
51,GeneticAlgorithmPython,ahmedfgad/GeneticAlgorithmPython,{},,,27.0,,1,False,others,3.0,
52,vizier,google/vizier,{},,,28.0,,1,False,others,3.0,
53,easea,EASEA/easea,{},,,38.0,,1,False,others,3.0,
54,gomea,CWI-EvolutionaryIntelligence/gomea,{},3.0,3.0,5.0,,1,False,others,3.0,
55,NSGA-II,baopng/NSGA-II,{},6.0,6.0,4.0,,1,False,others,3.0,
56,ann-benchmarks,erikbern/ann-benchmarks,{},,,112.0,,1,False,others,3.0,
57,loss-of-plasticity,shibhansh/loss-of-plasticity,{},5.0,5.0,6.0,,1,False,others,3.0,
58,awesome-open-ended,jennyzzt/awesome-open-ended,{},,,22.0,,1,False,others,3.0,
59,Gentopia,Gentopia-AI/Gentopia,{},4.0,4.0,7.0,,1,False,others,3.0,
60,evoxbench,EMI-Group/evoxbench,{},9.0,9.0,7.0,,1,False,others,3.0,
61,ngc-learn,NACLab/ngc-learn,{},8.0,8.0,15.0,,1,False,others,3.0,
62,quality-diversity.github.io,quality-diversity/quality-diversity.github.io,{},,,31.0,,1,False,others,3.0,
63,SwarmRL,SwarmRL/SwarmRL,{},,,28.0,,1,False,others,3.0,
64,hypersweeper,automl/hypersweeper,{},4.0,4.0,4.0,,1,False,others,3.0,
65,mindcraft,kolbytn/mindcraft,{},,,71.0,,1,False,others,3.0,
66,LLaMEA,nikivanstein/LLaMEA,{},4.0,4.0,9.0,,1,False,others,3.0,
67,cambrian,cambrian-mllm/cambrian,{},3.0,3.0,4.0,,1,False,others,3.0,
68,ES,enajx/ES,{},,,,,0,False,others,,
69,HebbianMetaLearning,enajx/HebbianMetaLearning,{},,,,,0,False,others,,
70,innovation-engine,Evolving-AI-Lab/innovation-engine,{},,,,,0,False,others,,
71,evogym-design-tool,EvolutionGym/evogym-design-tool,{},,,3.0,,0,False,others,,
72,self-organising-systems,google-research/self-organising-systems,{},,,10.0,,0,False,others,,
