,name,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,category,projectrank_placing,trending,updated_github_id
155,innovation-engine,Evolving-AI-Lab/innovation-engine,https://github.com/Evolving-AI-Lab/innovation-engine,https://github.com/Evolving-AI-Lab/innovation-engine,MIT,2015-09-16 05:27:02,2017-07-30 06:44:20,2017-07-30 06:44:19,15,,8.0,5.0,,1.0,,31,,,,,,Code base for Innovation Engines GECCO 2015 paper.,,,,7,False,others,3.0,,
156,PAPA,SamsungSAILMontreal/PAPA,https://github.com/SamsungSAILMontreal/PAPA,https://github.com/SamsungSAILMontreal/PAPA,MIT,2023-04-06 13:47:22,2024-04-11 16:57:48,2024-04-11 16:57:48,17,,6.0,3.0,,,,31,,,,,,Repository for the PopulAtion Parameter Averaging (PAPA) paper.,,,,7,False,others,3.0,,
157,lwm,princeton-nlp/lwm,https://github.com/princeton-nlp/lwm,https://github.com/princeton-nlp/lwm,GPL-3.0,2024-01-17 21:48:17,2024-02-10 02:53:57,2024-02-10 02:53:57,27,,4.0,7.0,1.0,4.0,,25,,,,,,We develop world models that can be adapted with natural language. Intergrating these models into artificial agents..,,,7.0,7,False,others,3.0,,
158,poprank,poprl/poprank,https://github.com/poprl/poprank,https://github.com/poprl/poprank,MIT,2023-03-24 17:22:12,2026-05-05 03:15:09,2026-05-05 03:15:09,206,4.0,2.0,2.0,17.0,1.0,,7,,,,,1.0,PopRank is a library implementing the most common ranking and rating methods.,,,4.0,7,False,others,3.0,,
159,brainmagick,facebookresearch/brainmagick,https://github.com/facebookresearch/brainmagick,https://github.com/facebookresearch/brainmagick,,2023-06-19 13:27:30,2024-03-12 17:49:40,2024-03-12 17:49:40,6,,74.0,3.0,3.0,,4.0,475,,,,,,Training and evaluation pipeline for MEG and EEG brain signal encoding and decoding using deep learning. Code for our..,,,2.0,6,False,others,3.0,,
160,Evolutionary-Reinforcement-Learning,ShawK91/Evolutionary-Reinforcement-Learning,https://github.com/ShawK91/Evolutionary-Reinforcement-Learning,https://github.com/ShawK91/Evolutionary-Reinforcement-Learning,,2018-10-19 23:38:05,2020-09-13 22:26:13,2020-09-13 22:25:50,14,,61.0,4.0,,4.0,1.0,251,,,,,,Codebase for Evolutionary Reinforcement Learning (ERL) from the paper Evolution-Guided Policy Gradients in..,,,3.0,6,False,others,3.0,,
161,ReConcile,dinobby/ReConcile,https://github.com/dinobby/ReConcile,https://github.com/dinobby/ReConcile,MIT,2023-09-24 22:21:37,2023-10-03 15:09:54,2023-09-26 03:15:36,5,,16.0,3.0,2.0,3.0,1.0,202,,,,,,,,,,6,False,others,3.0,,
162,how-to-autorl,facebookresearch/how-to-autorl,https://github.com/facebookresearch/how-to-autorl,https://github.com/facebookresearch/how-to-autorl,Apache-2.0,2023-02-07 10:21:08,2023-11-27 09:24:01,2023-09-14 19:49:04,14,,16.0,1.0,19.0,4.0,,88,,,,,,Plug-and-play hydra sweepers for the EA-based multifidelity method DEHB and several population-based training..,,,4.0,6,False,others,3.0,,
163,Python_Benchmark_Test_Optimization_Function_Single_Objective,AxelThevenot/Python_Benchmark_Test_Optimization_Function_Single_Objective,https://github.com/AxelThevenot/Python_Benchmark_Test_Optimization_Function_Single_Objective,https://github.com/AxelThevenot/Python_Benchmark_Test_Optimization_Function_Single_Objective,MIT,2020-12-31 14:10:42,2023-01-20 21:30:19,2023-01-20 21:30:19,16,,30.0,1.0,2.0,10.0,,87,,,,,,,,,3.0,6,False,others,3.0,,
164,poppy,instadeepai/poppy,https://github.com/instadeepai/poppy,https://github.com/instadeepai/poppy,Apache-2.0,2022-09-29 11:55:46,2024-02-12 18:36:36,2024-02-12 17:42:13,1,,15.0,7.0,,,,87,,,,,,Population-Based Reinforcement Learning for Combinatorial Optimization.,,,,6,False,others,3.0,,
