,name,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,category,projectrank_placing,trending,updated_github_id
202,cmoea,Evolving-AI-Lab/cmoea,https://github.com/Evolving-AI-Lab/cmoea,https://github.com/Evolving-AI-Lab/cmoea,MIT,2018-07-10 01:58:03,2018-07-11 02:18:54,2018-07-11 02:18:54,7,,,2.0,,,,7,,,,,,The source code of the CMOEA module.,,,2.0,3,False,others,3.0,,
203,Bio-ANN,NeurAI-Lab/Bio-ANN,https://github.com/NeurAI-Lab/Bio-ANN,https://github.com/NeurAI-Lab/Bio-ANN,MIT,2023-04-13 14:39:52,2023-10-11 14:06:17,2023-10-11 14:06:17,6,,,1.0,,,,7,,,,,,The official repository for TMLR paper A Study of Biologically Plausible Neural Network: The Role and Interactions of..,,,2.0,3,False,others,3.0,,
204,hebo_on_bbob,dimitri-rusin/hebo_on_bbob,https://github.com/dimitri-rusin/hebo_on_bbob,https://github.com/dimitri-rusin/hebo_on_bbob,,2023-11-16 14:54:04,2023-11-20 15:39:40,2023-11-15 15:54:46,179,,,1.0,,,,6,,,,,,,,,19.0,3,False,others,3.0,,
205,Evaluate-n-Model-Social-Intelligence,bigai-ai/Evaluate-n-Model-Social-Intelligence,https://github.com/bigai-ai/Evaluate-n-Model-Social-Intelligence,https://github.com/bigai-ai/Evaluate-n-Model-Social-Intelligence,MIT,2024-05-20 07:44:54,2024-05-20 08:02:35,2024-05-20 07:48:05,1,,2.0,7.0,,,,5,,,,,,,,,,3,False,others,3.0,,
206,HyperNCA,enajx/HyperNCA,https://github.com/enajx/HyperNCA,https://github.com/enajx/HyperNCA,,2022-02-24 17:51:39,2022-04-27 16:43:41,2022-04-27 16:43:41,10,,2.0,1.0,,,,42,,,,,,,,,,2,False,others,3.0,,
207,lux-open,hanmochen/lux-open,https://github.com/hanmochen/lux-open,https://github.com/hanmochen/lux-open,,2022-10-31 07:52:37,2023-01-09 13:22:13,2023-01-09 13:21:48,2,,6.0,1.0,,,,27,,,,,,Emergent collective intelligence from massive-agent cooperation and competition.,,,2.0,2,False,others,3.0,,
208,KAN-EA,hhyqhh/KAN-EA,https://github.com/hhyqhh/KAN-EA,https://github.com/hhyqhh/KAN-EA,,2024-05-24 14:42:40,2024-05-28 02:51:06,2024-05-28 02:26:01,6,,7.0,1.0,,,,20,,,,,,,,,,2,False,others,3.0,,
209,spotlight_hardware_designs,facebookresearch/spotlight_hardware_designs,https://github.com/facebookresearch/spotlight_hardware_designs,https://github.com/facebookresearch/spotlight_hardware_designs,CC-BY-4.0,2022-09-14 19:51:12,2023-03-23 22:04:39,2023-03-23 22:04:39,2,,1.0,10.0,2.0,,,17,,,,,,Partial set of hardware designs for a Meta-developed brain computer interface (BCI) research prototype system..,,,2.0,2,False,others,3.0,,
210,moe-routing,ilyalasy/moe-routing,https://github.com/ilyalasy/moe-routing,https://github.com/ilyalasy/moe-routing,,2024-02-27 13:00:01,2024-03-22 12:13:25,2024-03-22 12:13:23,31,,,1.0,,,,10,,,,,,Analysis of token routing for different implementations of Mixture of Experts.,,,2.0,2,False,others,3.0,,
211,MetaMetaLearning,ThomasMiconi/MetaMetaLearning,https://github.com/ThomasMiconi/MetaMetaLearning,https://github.com/ThomasMiconi/MetaMetaLearning,,2022-02-09 02:20:56,2022-09-01 22:52:19,2022-09-01 22:52:19,11,,2.0,1.0,,,,8,,,,,,Evolve plastic networks to be able to automatically acquire novel cognitive (meta-learning) tasks.,,,,2,False,others,3.0,,
212,BPT-VLM,ECNU-ICALK/BPT-VLM,https://github.com/ECNU-ICALK/BPT-VLM,https://github.com/ECNU-ICALK/BPT-VLM,,2023-04-26 11:08:01,2023-09-18 12:26:58,2023-09-18 12:26:58,2,,3.0,1.0,1.0,1.0,1.0,18,,,,,,[IJCAI 2023] Black-box Prompt Tuning for Vision-Language Model as a Service.,,,,1,False,others,3.0,,
213,es-lottery,RobertTLange/es-lottery,https://github.com/RobertTLange/es-lottery,https://github.com/RobertTLange/es-lottery,,2022-12-02 15:58:46,2023-06-02 08:11:43,2023-06-02 08:11:33,2,,2.0,1.0,,,,17,,,,,,"Lottery Tickets in Evolutionary Optimization (Lange & Sprekeler, ICML 2023).",,,,1,False,others,3.0,,
214,cultural-accumulation,FLAIROx/cultural-accumulation,https://github.com/FLAIROx/cultural-accumulation,https://github.com/FLAIROx/cultural-accumulation,,2024-05-29 19:01:28,2024-07-16 20:02:08,2024-06-11 15:33:53,11,,6.0,5.0,1.0,1.0,1.0,16,,,,,,,,,2.0,1,False,others,3.0,,
215,warehouse_env_gen_nca_public,lunjohnzhang/warehouse_env_gen_nca_public,https://github.com/lunjohnzhang/warehouse_env_gen_nca_public,https://github.com/lunjohnzhang/warehouse_env_gen_nca_public,,2023-10-25 07:32:04,2023-10-31 04:34:57,2023-10-31 04:34:56,13,,1.0,1.0,,,1.0,13,,,,,,"Official implementation of the paper Arbitrarily Scalable Environment Generators via Neural Cellular Automata,..",,,,1,False,others,3.0,,
216,LearningToLearnCogTasks,ThomasMiconi/LearningToLearnCogTasks,https://github.com/ThomasMiconi/LearningToLearnCogTasks,https://github.com/ThomasMiconi/LearningToLearnCogTasks,,2023-05-26 16:14:43,2023-06-03 22:11:33,2023-06-03 22:11:33,8,,1.0,1.0,,,,10,,,,,,"Code for the ICML 2023 paper Learning to acquire novel cognitive tasks with evolution, plasticity and meta-meta-..",,,2.0,1,False,others,3.0,,
217,procgen_autorl,jparkerholder/procgen_autorl,https://github.com/jparkerholder/procgen_autorl,https://github.com/jparkerholder/procgen_autorl,,2021-10-17 08:43:56,2021-12-13 10:55:00,2021-12-13 10:55:00,4,,1.0,1.0,,,,7,,,,,,,,,,1,False,others,3.0,,
218,promptsearch,lukas/promptsearch,https://github.com/lukas/promptsearch,https://github.com/lukas/promptsearch,,2024-05-18 09:36:57,2024-06-27 15:48:25,2024-06-27 15:48:25,16,,2.0,2.0,1.0,,,6,,,,,,some experiments with sweeping prompts.,,,2.0,1,False,others,3.0,,
219,NEAT_RL,rwickman/NEAT_RL,https://github.com/rwickman/NEAT_RL,https://github.com/rwickman/NEAT_RL,,2023-01-10 03:24:20,2023-04-19 13:52:06,2023-04-19 13:52:06,49,,,2.0,,,,4,,,,,,,,,2.0,1,False,others,3.0,,
220,Hierarchy,Evolutionary-Intelligence/Hierarchy,https://github.com/Evolutionary-Intelligence/Hierarchy,https://github.com/Evolutionary-Intelligence/Hierarchy,CC0-1.0,2024-02-29 11:08:38,2024-03-06 09:51:09,2024-03-06 09:51:09,18,,,1.0,,,,2,,,,,,,,,,1,False,others,3.0,,
221,diversity_metrics,CarperAI/diversity_metrics,https://github.com/CarperAI/diversity_metrics,https://github.com/CarperAI/diversity_metrics,,2023-07-05 19:58:05,2023-08-10 18:51:55,2023-08-10 18:51:53,11,,1.0,,,,,1,,,,,,,,,,1,False,others,3.0,,
222,Noise-Reuse-Evolution-Strategies,OscarcarLi/Noise-Reuse-Evolution-Strategies,https://github.com/OscarcarLi/Noise-Reuse-Evolution-Strategies,https://github.com/OscarcarLi/Noise-Reuse-Evolution-Strategies,,2023-04-15 15:13:10,2023-12-21 22:09:03,2023-12-21 22:09:03,4,,,2.0,,,1.0,6,,,,,,,,,,0,False,others,,,
223,alife2023,evoising/alife2023,https://github.com/evoising/alife2023,https://github.com/evoising/alife2023,,2023-05-07 19:39:51,2023-07-25 19:53:31,2023-07-25 19:53:18,15,,1.0,1.0,,,,4,,,,,,,,,2.0,0,False,others,,,
